"","Ecoli.cutoff","Host.cutoff","index","Coef.Parameter","Coef.Estimate","Coef.Year.2015.Parameter","Coef.Year.2015.Estimate","Coef.betweeness.Parameter","Coef.betweeness.Estimate","Coef.betweeness.Year.2015.Parameter","Coef.betweeness.Year.2015.Estimate","Coef.eigencent.Parameter","Coef.eigencent.Estimate","Coef.eigencent.Year.2015.Parameter","Coef.eigencent.Year.2015.Estimate","Coef.degree.Year.2015.Parameter","Coef.degree.Year.2015.Estimate"
"568","0.9",0.0924242424242424,"HWI","Ecoli.degree",0.961266103338293,"Year.2015",-0.850976084773192,"Ecoli.betweenness",29.92813414554,"Ecoli.betweenness*Year.2015",-32.5251757785621,"Ecoli.evcent",0.00935693826617474,"Year.2015",-0.0322345908835282,"Ecoli.degree*Year.2015",-1.25657878414922
"569","0.94",0.0545454545454545,"HWI","Ecoli.degree",4.28803507727522,"Year.2015",0.903191164703109,"Ecoli.betweenness",105.384235341299,"Ecoli.betweenness*Year.2015",-93.0691037424288,"Ecoli.evcent",0.0130555527646499,"Year.2015",-0.0308178665159317,"Ecoli.degree*Year.2015",-4.11456395237294
"570","0.94",0.0348484848484849,"HWI","Ecoli.degree",3.70564185778983,"Year.2015",6.78303019821424,"Ecoli.betweenness",71.6106754461502,"Ecoli.betweenness*Year.2015",-65.6131751315938,"Ecoli.evcent",0.0130545045996242,"Year.2015",-0.0153148128707205,"Ecoli.degree*Year.2015",-3.88341626962087
"571","0.94",0.0939393939393939,"SRI","Ecoli.degree",0.874266776378127,"Year.2015",-2.08777234496467,"Ecoli.betweenness",8.20304279459305,"Ecoli.betweenness*Year.2015",-8.19450719594617,"Ecoli.evcent",0.0172442612800908,"Year.2015",-0.0601733416306631,"Ecoli.degree*Year.2015",-0.955028123951125
"572","0.9",0.13030303030303,"SRI","Ecoli.degree",1.23535800988712,"Year.2015",-1.12693523702214,"Ecoli.betweenness",1.92100335569814,"Ecoli.betweenness*Year.2015",-1.83871608498851,"Ecoli.evcent",0.0490249175079545,"Year.2015",-0.0541674978917119,"Ecoli.degree*Year.2015",-1.22884526065943
"573","0.9",0.15,"HWI","Ecoli.degree",1.59593612985035,"Year.2015",-2.20981934510364,"Ecoli.betweenness",4.47076255090159,"Ecoli.betweenness*Year.2015",-4.20190617882616,"Ecoli.evcent",0.0255830728877187,"Year.2015",-0.00619874739277152,"Ecoli.degree*Year.2015",-1.64581069615463
"574","0.9",0.046969696969697,"HWI","Ecoli.degree",1.18559057979271,"Year.2015",4.05590496224806,"Ecoli.betweenness",11.6672155335064,"Ecoli.betweenness*Year.2015",-7.90238454976873,"Ecoli.evcent",0.0109075665006976,"Year.2015",-0.0318683233807044,"Ecoli.degree*Year.2015",-1.69156411279915
"575","0.94",0.131818181818182,"SRI","Ecoli.degree",0.590132146443996,"Year.2015",-0.76946450958141,"Ecoli.betweenness",8.36808112105414,"Ecoli.betweenness*Year.2015",-8.36716341642662,"Ecoli.evcent",0.0268408343835112,"Year.2015",-0.0551660789488853,"Ecoli.degree*Year.2015",-0.650022137398201
"576","0.9",0.0742424242424242,"SRI","Ecoli.degree",1.21967034533607,"Year.2015",-2.09340140701684,"Ecoli.betweenness",2.37376143171484,"Ecoli.betweenness*Year.2015",-2.27849953610824,"Ecoli.evcent",0.0152542378149266,"Year.2015",-0.0028900178095444,"Ecoli.degree*Year.2015",-1.28170954137088
"577","0.94",0.0803030303030303,"HWI","Ecoli.degree",3.14167706319145,"Year.2015",-1.03542763451532,"Ecoli.betweenness",174.432720444047,"Ecoli.betweenness*Year.2015",-165.747140079234,"Ecoli.evcent",0.0110534717419584,"Year.2015",-0.0294593656648959,"Ecoli.degree*Year.2015",-3.30545691438415
